message,count,symbols,fixed attribute values
"(5, 5, 5, 0)",7,"{(5,)}","{('?', 6, '?')}"
"(5, 12, 12, 0)",5,"{(12, 5)}","{('?', 4, '?')}"
"(5, 12, 21, 0)",2,"{(21, 12, 5)}","{('?', '?', '?')}"
"(5, 17, 5, 0)",1,"{(17, 5)}","{('?', 6, 6)}"
"(5, 21, 21, 0)",13,"{(21, 5)}","{('?', 1, '?')}"
"(6, 6, 6, 0)",71,"{(6,)}","{(4, '?', '?')}"
"(9, 9, 9, 0)",64,"{(9,)}","{(3, '?', '?')}"
"(12, 9, 9, 0)",1,"{(9, 12)}","{(3, 2, '?')}"
"(12, 12, 12, 0)",15,"{(12,)}","{('?', 2, '?')}"
"(12, 13, 13, 0)",4,"{(12, 13)}","{(0, 2, '?')}"
"(13, 6, 13, 0)",1,"{(13, 6)}","{(0, 3, 4)}"
"(13, 13, 13, 0)",64,"{(13,)}","{(0, '?', '?')}"
"(13, 21, 13, 0)",1,"{(21, 13)}","{('?', '?', 2)}"
"(13, 21, 24, 0)",1,"{(24, 21, 13)}","{(0, 7, 7)}"
"(15, 15, 15, 0)",1,"{(15,)}","{('?', '?', 6)}"
"(16, 16, 16, 0)",64,"{(16,)}","{(1, '?', '?')}"
"(17, 17, 17, 0)",64,"{(17,)}","{(6, '?', '?')}"
"(18, 18, 9, 0)",1,"{(9, 18)}","{(3, 7, 7)}"
"(18, 18, 18, 0)",60,"{(18,)}","{(7, '?', '?')}"
"(21, 7, 7, 0)",2,"{(21, 7)}","{('?', 3, '?')}"
"(21, 8, 8, 0)",3,"{(8, 21)}","{('?', '?', 1)}"
"(21, 9, 9, 0)",1,"{(9, 21)}","{(3, 1, 5)}"
"(21, 13, 7, 0)",1,"{(13, 21, 7)}","{(0, '?', 7)}"
"(21, 13, 13, 0)",1,"{(13, 21)}","{(0, 3, 5)}"
"(21, 15, 15, 0)",1,"{(21, 15)}","{('?', '?', 5)}"
"(21, 15, 21, 0)",1,"{(21, 15)}","{('?', '?', 0)}"
"(21, 21, 19, 0)",1,"{(19, 21)}","{('?', '?', 2)}"
"(21, 21, 21, 0)",2,"{(21,)}","{('?', '?', '?')}"
"(21, 24, 7, 0)",7,"{(24, 21, 7)}","{('?', 3, '?')}"
"(21, 24, 24, 0)",2,"{(24, 21)}","{('?', 3, '?')}"
"(23, 12, 12, 0)",1,"{(12, 23)}","{(5, 2, 3)}"
"(23, 23, 23, 0)",62,"{(23,)}","{(5, '?', '?')}"
"(24, 8, 8, 0)",1,"{(24, 8)}","{('?', 0, 1)}"
"(24, 13, 13, 0)",1,"{(24, 13)}","{(0, 5, 0)}"
"(24, 16, 16, 0)",8,"{(24, 16)}","{('?', 0, '?')}"
"(24, 17, 17, 0)",1,"{(24, 17)}","{('?', 7, '?')}"
"(24, 21, 24, 0)",11,"{(24, 21)}","{('?', 7, '?')}"
"(24, 24, 13, 0)",1,"{(24, 13)}","{(0, 5, 0)}"
"(24, 24, 16, 0)",1,"{(24, 16)}","{('?', 0, 2)}"
"(24, 24, 24, 0)",10,"{(24,)}","{('?', 5, '?')}"
"(26, 26, 26, 0)",62,"{(26,)}","{(2, '?', '?')}"
